NAME,REGION,LATITUDE,LONGITUDE,ELEVATION,TYPE,STATUS,LAST ERUPTION CODE
BAMUS,NEW BRITAIN-SW PAC,-5.2,151.23,2248,STRATOVOLCANO,ANTHROPOLOGY,D3
BANAHAO,LUZON-PHILIPPINES,14.07,121.48,2158,COMPLEX VOLCANO,HOLOCENE,U
BANDA API,BANDA SEA,-4.525,129.871,640,CALDERA,HISTORICAL,D1
BANDAI,HONSHU-JAPAN,37.6,140.08,1819,STRATOVOLCANO,HISTORICAL,D3
BANUA WUHU,SANGIHE IS-INDONESIA,3.138,125.491,-5,SUBMARINE VOLCANO,HISTORICAL,D2
BARANSKY,KURIL IS,45.1,148.02,1132,STRATOVOLCANO,HISTORICAL,D2
BARCENA,MEXICO-IS,19.3,-110.82,332,CINDER CONES,HISTORICAL,D2
BARDARBUNGA,ICELAND-NE,64.63,-17.53,2000,STRATOVOLCANO,HISTORICAL,D2
BARKHATNAYA SOPKA,KAMCHATKA,52.823,158.27,870,LAVA DOMES,TEPHROCHRONOLOGY,D7
BARREN ISLAND,ANDAMAN IS-INDIAN O,12.292,93.875,354,STRATOVOLCANO,HISTORICAL,D1
BARRIER,AFRICA-E,2.32,36.57,1032,SHIELD VOLCANO,HISTORICAL,D2
BARU,PANAMA,8.8,-82.558,3477,COMPLEX VOLCANO,HISTORICAL,D5
BARVA,COSTA RICA,10.135,-84.1,2906,COMPLEX VOLCANO,TEPHROCHRONOLOGY,D7
BAS DONG NAI,SE ASIA,10.8,107.2,392,VOLCANIC FIELD,HOLOCENE?,?
BATUR,LESSER SUNDA IS,-8.242,115.375,1717,CALDERA,HISTORICAL,D1
BAYO,CHILE-N,-25.42,-68.58,5401,COMPLEX VOLCANO,HOLOCENE,U
BAYONNAISE ROCKS,IZU IS-JAPAN,31.92,139.92,10,SUBMARINE VOLCANO,HISTORICAL,D1
BAYUDA VOLC FIELD,AFRICA-N,18.33,32.75,0,CINDER CONES,RADIOCARBON,D6
