NAME,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,TYPE,POPULATION WITHIN 10KM,LARGEST YEAR,LARGEST VEI,LATEST YEAR,LATEST VEI
Lascar,Chile,-23.37,-67.73,5592,Stratovolcano(es),70,1993,4,2015,2
Lassen Volcanic Center,United States,40.492,-121.508,3187,Stratovolcano,9,1914,3,1914,3
Late,Tonga,-18.806,-174.65,540,Stratovolcano,158,1854,2,1854,2
Lautaro,Chile,-49.02,-73.55,3607,Stratovolcano,0,1979,2,1979,2
Lawu,Indonesia,-7.625,111.192,3265,Stratovolcano,68175,1885,1,1885,1
Lengai,Tanzania,-2.764,35.914,2962,Stratovolcano,1855,2007,3,2011,0
Leroboleng,Indonesia,-8.365,122.833,1095,Complex,26794,2003,3,2003,3
Lewotobi,Indonesia,-8.542,122.775,1703,Stratovolcano(es),59084,1932,3,2003,2
Lewotolo,Indonesia,-8.272,123.505,1423,Stratovolcano,10032,1660,3,2012,1
Liamuiga,Saint Kitts and Nevis,17.37,-62.8,1156,Stratovolcano,7285,160,4,160,4
Little Sitkin,United States,51.95,178.543,1174,Stratovolcano,0,1776,1,1776,1
Ljosufjoll,Iceland,64.9,-22.483,1063,Fissure vent(s),713,-2050,3,960,2
Llaima,Chile,-38.692,-71.729,3125,Stratovolcano,811,-6880,5,2008,3
Llullaillaco,Chile-Argentina,-24.72,-68.53,6739,Stratovolcano,18,1877,2,1877,2
Loihi,United States,18.92,-155.27,-975,Submarine,0,1996,0,1996,0
Lokon-Empung,Indonesia,1.358,124.792,1580,Stratovolcano(es),75684,2003,3,2015,1
Lolobau,Papua New Guinea,-4.92,151.158,858,Caldera,7243,1911,4,1911,4
Long Island,Papua New Guinea,-5.358,147.12,1280,Complex,2023,1660,6,1993,1
Longonot,Kenya,-0.914,36.446,2776,Stratovolcano,17893,1863,0,1863,0
Lonquimay,Chile,-38.379,-71.586,2832,Stratovolcano,540,1988,3,1988,3
Lopevi,Vanuatu,-16.507,168.346,1413,Stratovolcano,793,2003,3,2007,2
Macauley,New Zealand,-30.21,-178.475,238,Caldera,0,-4360,6,-4360,6
Macdonald,Undersea Features,-28.98,-140.25,-39,Submarine,0,1987,0,1987,0
Mahawu,Indonesia,1.352,124.865,1299,Stratovolcano,111852,1958,2,1977,0
Maipo,Chile-Argentina,-34.164,-69.832,5323,Caldera,3916,1912,2,1912,2
